2026-03-02 00:49:49 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 00:49:49 | INFO | app.services.rag_service_fast | rag.ask_stream mode=kb retrieve_ms=367.07 total_ms=8210.11 docs=6
2026-03-02 00:50:38 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/embeddings "HTTP/1.1 200 OK"
2026-03-02 00:50:40 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 00:50:40 | INFO | app.services.rag_service_fast | rag.ask_stream mode=kb retrieve_ms=394.91 total_ms=1879.14 docs=6
2026-03-02 00:52:46 | INFO | app.services.ingestion_service | startup.ingest triggered=True reason=collection_empty_or_missing files_total=78 chunks_inserted=0 chunks_deleted=0
2026-03-02 00:52:46 | INFO | app.main | startup.auto_ingest triggered=True reason=collection_empty_or_missing files_total=78 chunks_inserted=0
2026-03-02 00:53:15 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/embeddings "HTTP/1.1 200 OK"
2026-03-02 00:53:15 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 00:53:15 | WARNING | app.services.rag_service_fast | web_search unavailable: duckduckgo_search not installed
2026-03-02 00:53:15 | INFO | app.services.rag_service_fast | rag.ask_stream mode=kb_unknown retrieve_ms=377.59 total_ms=2576.51 docs=6
2026-03-02 00:53:36 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/embeddings "HTTP/1.1 200 OK"
2026-03-02 00:53:37 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 00:53:37 | WARNING | app.services.rag_service_fast | web_search unavailable: duckduckgo_search not installed
2026-03-02 00:53:37 | INFO | app.services.rag_service_fast | rag.ask cache_hit=False mode=kb_unknown retrieve_ms=253.12 total_ms=583.48 docs=6
2026-03-02 01:18:23 | INFO | app.main | startup.auto_ingest triggered=False reason=collection_ready files_total=78 chunks_inserted=0
2026-03-02 01:19:59 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/embeddings "HTTP/1.1 200 OK"
2026-03-02 01:20:00 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 01:20:00 | INFO | app.services.rag_service_fast | duckduckgo sdk unavailable, continue with html providers
2026-03-02 01:20:01 | INFO | httpx | HTTP Request: GET https://www.bing.com/search?q=%E9%B3%97%E9%B1%BC%E9%A5%AD%E6%80%8E%E4%B9%88%E5%81%9A&setlang=zh-CN "HTTP/1.1 302 Found"
2026-03-02 01:20:01 | INFO | httpx | HTTP Request: GET https://cn.bing.com/search?q=%E9%B3%97%E9%B1%BC%E9%A5%AD%E6%80%8E%E4%B9%88%E5%81%9A&setlang=zh-CN "HTTP/1.1 200 OK"
2026-03-02 01:20:01 | INFO | app.services.rag_service_fast | web_search provider=bing results=5
2026-03-02 01:20:07 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 01:20:07 | INFO | app.services.rag_service_fast | rag.ask_stream mode=web retrieve_ms=494.98 total_ms=10572.57 docs=6
2026-03-02 01:21:22 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/embeddings "HTTP/1.1 200 OK"
2026-03-02 01:21:23 | INFO | httpx | HTTP Request: POST https://dashscope.aliyuncs.com/compatible-mode/v1/chat/completions "HTTP/1.1 200 OK"
2026-03-02 01:21:23 | INFO | app.services.rag_service_fast | duckduckgo sdk unavailable, continue with html providers
2026-03-02 01:21:24 | INFO | httpx | HTTP Request: GET https://www.bing.com/search?q=%E7%82%92%E9%A5%AD%E6%80%8E%E4%B9%88%E5%81%9A&setlang=zh-CN "HTTP/1.1 302 Found"
2026-03-02 01:21:24 | INFO | httpx | HTTP Request: GET https://cn.bing.com/search?q=%E7%82%92%E9%A5%AD%E6%80%8E%E4%B9%88%E5%81%9A&setlang=zh-CN "HTTP/1.1 200 OK"
2026-03-02 01:21:24 | INFO | app.services.rag_service_fast | web_search provider=bing results=5
